ClosedXML;0.96.0; DocumentFormat.OpenXml;2.16.0;https://www.nuget.org/api/v2/package/DocumentFormat.OpenXml/2.16.0
Microsoft.Extensions.Caching.Memory;7.0.0; Microsoft.Extensions.DependencyInjection.Abstractions;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/7.0.0
Microsoft.Extensions.Caching.Memory;7.0.0; Microsoft.Extensions.Caching.Abstractions;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Caching.Abstractions/7.0.0
Microsoft.Extensions.Caching.Memory;7.0.0; Microsoft.Extensions.Logging.Abstractions;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/7.0.0
Microsoft.Extensions.Caching.Memory;7.0.0; Microsoft.Extensions.Options;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/7.0.0
Microsoft.Extensions.Caching.Abstractions;7.0.0; Microsoft.Extensions.Primitives;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/7.0.0
AutoFixture;4.18.0; Fare;[2.1.1, 3.0.0);https://www.nuget.org/api/v2/package/Fare/[2.1.1, 3.0.0)
AutoFixture;4.18.0; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
AutoFixture.AutoMoq;4.17.0; Moq;[4.7.0, 4.11.0);https://www.nuget.org/api/v2/package/Moq/[4.7.0, 4.11.0)
AutoFixture.AutoMoq;4.17.0; Moq;[4.1.1308.2120, 5.0.0);https://www.nuget.org/api/v2/package/Moq/[4.1.1308.2120, 5.0.0)
AutoFixture.AutoMoq;4.17.0; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
AutoFixture.AutoMoq;4.17.0; Moq;[4.7.0, 5.0.0);https://www.nuget.org/api/v2/package/Moq/[4.7.0, 5.0.0)
AutoFixture.AutoMoq;4.17.0; AutoFixture;4.17.0;https://www.nuget.org/api/v2/package/AutoFixture/4.17.0
AutoFixture;4.17.0; Fare;[2.1.1, 3.0.0);https://www.nuget.org/api/v2/package/Fare/[2.1.1, 3.0.0)
AutoFixture;4.17.0; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
AutoFixture.Xunit2;4.18.0; xunit.extensibility.core;[2.0.0, 3.0.0);https://www.nuget.org/api/v2/package/xunit.extensibility.core/[2.0.0, 3.0.0)
AutoFixture.Xunit2;4.18.0; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
AutoFixture.Xunit2;4.18.0; xunit.extensibility.core;[2.2.0, 3.0.0);https://www.nuget.org/api/v2/package/xunit.extensibility.core/[2.2.0, 3.0.0)
AutoFixture.Xunit2;4.18.0; AutoFixture;4.18.0;https://www.nuget.org/api/v2/package/AutoFixture/4.18.0
Microsoft.EntityFrameworkCore.InMemory;7.0.3; Microsoft.EntityFrameworkCore;7.0.3;https://www.nuget.org/api/v2/package/Microsoft.EntityFrameworkCore/7.0.3
Microsoft.NET.Test.Sdk;17.5.0; Microsoft.CodeCoverage;17.5.0;https://www.nuget.org/api/v2/package/Microsoft.CodeCoverage/17.5.0
Microsoft.NET.Test.Sdk;17.5.0; Microsoft.TestPlatform.TestHost;17.5.0;https://www.nuget.org/api/v2/package/Microsoft.TestPlatform.TestHost/17.5.0
Microsoft.TestPlatform.TestHost;17.5.0; Microsoft.TestPlatform.ObjectModel;17.5.0;https://www.nuget.org/api/v2/package/Microsoft.TestPlatform.ObjectModel/17.5.0
Microsoft.TestPlatform.TestHost;17.5.0; Newtonsoft.Json;13.0.1;https://www.nuget.org/api/v2/package/Newtonsoft.Json/13.0.1
Microsoft.TestPlatform.ObjectModel;17.5.0; NuGet.Frameworks;5.11.0;https://www.nuget.org/api/v2/package/NuGet.Frameworks/5.11.0
Newtonsoft.Json;13.0.1; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
Newtonsoft.Json;13.0.1; Microsoft.CSharp;4.3.0;https://www.nuget.org/api/v2/package/Microsoft.CSharp/4.3.0
Moq;4.18.4; Castle.Core;5.1.1;https://www.nuget.org/api/v2/package/Castle.Core/5.1.1
xunit;2.4.2; xunit.assert;2.4.2;https://www.nuget.org/api/v2/package/xunit.assert/2.4.2
xunit;2.4.2; xunit.analyzers;1.0.0;https://www.nuget.org/api/v2/package/xunit.analyzers/1.0.0
xunit;2.4.2; xunit.core;[2.4.2];https://www.nuget.org/api/v2/package/xunit.core/[2.4.2]
xunit.assert;2.4.2; NETStandard.Library;1.6.1;https://www.nuget.org/api/v2/package/NETStandard.Library/1.6.1
EFCore.NamingConventions;7.0.2; Microsoft.Extensions.DependencyInjection.Abstractions;7.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/7.0.0
EFCore.NamingConventions;7.0.2; Microsoft.EntityFrameworkCore;[7.0.2, 8.0.0);https://www.nuget.org/api/v2/package/Microsoft.EntityFrameworkCore/[7.0.2, 8.0.0)
EFCore.NamingConventions;7.0.2; Microsoft.EntityFrameworkCore.Relational;[7.0.2, 8.0.0);https://www.nuget.org/api/v2/package/Microsoft.EntityFrameworkCore.Relational/[7.0.2, 8.0.0)
Microsoft.AspNetCore.Identity;2.2.0; Microsoft.AspNetCore.Hosting.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Hosting.Abstractions/2.2.0
Microsoft.AspNetCore.Identity;2.2.0; Microsoft.AspNetCore.Cryptography.KeyDerivation;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Cryptography.KeyDerivation/2.2.0
Microsoft.AspNetCore.Identity;2.2.0; Microsoft.AspNetCore.Authentication.Cookies;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Authentication.Cookies/2.2.0
Microsoft.AspNetCore.Identity;2.2.0; Microsoft.Extensions.Identity.Core;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Identity.Core/2.2.0
Microsoft.AspNetCore.Hosting.Abstractions;2.2.0; Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0
Microsoft.AspNetCore.Hosting.Abstractions;2.2.0; Microsoft.Extensions.Hosting.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Hosting.Abstractions/2.2.0
Microsoft.AspNetCore.Hosting.Abstractions;2.2.0; Microsoft.AspNetCore.Hosting.Server.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Hosting.Server.Abstractions/2.2.0
Microsoft.AspNetCore.Http.Abstractions;2.2.0; Microsoft.AspNetCore.Http.Features;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Features/2.2.0
Microsoft.AspNetCore.Http.Features;2.2.0; Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Microsoft.Extensions.Hosting.Abstractions;2.2.0; Microsoft.Extensions.Configuration.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Configuration.Abstractions/2.2.0
Microsoft.Extensions.Hosting.Abstractions;2.2.0; Microsoft.Extensions.Logging.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/2.2.0
