ClosedXML;0.105.0;https://www.nuget.org/api/v2/package/ClosedXML/0.105.0;ClosedXML.Parser;2.0.0;https://www.nuget.org/api/v2/package/ClosedXML.Parser/2.0.0
Microsoft.Extensions.Options;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/8.0.0;Microsoft.Extensions.Primitives;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/8.0.0
Microsoft.Extensions.DependencyInjection;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection/8.0.0;Microsoft.Bcl.AsyncInterfaces;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/8.0.0
Microsoft.Extensions.DependencyInjection;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection/8.0.0;Microsoft.Extensions.DependencyInjection.Abstractions;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/8.0.0
FluentValidation.DependencyInjectionExtensions;12.0.0;https://www.nuget.org/api/v2/package/FluentValidation.DependencyInjectionExtensions/12.0.0;Microsoft.Extensions.Dependencyinjection.Abstractions;2.1.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Dependencyinjection.Abstractions/2.1.0
FluentValidation.DependencyInjectionExtensions;12.0.0;https://www.nuget.org/api/v2/package/FluentValidation.DependencyInjectionExtensions/12.0.0;FluentValidation;12.0.0;https://www.nuget.org/api/v2/package/FluentValidation/12.0.0
MediatR;13.0.0;https://www.nuget.org/api/v2/package/MediatR/13.0.0;Microsoft.Extensions.Logging;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/8.0.0
MediatR;13.0.0;https://www.nuget.org/api/v2/package/MediatR/13.0.0;Microsoft.IdentityModel.JsonWebTokens;8.0.1;https://www.nuget.org/api/v2/package/Microsoft.IdentityModel.JsonWebTokens/8.0.1
MediatR;13.0.0;https://www.nuget.org/api/v2/package/MediatR/13.0.0;Microsoft.Bcl.AsyncInterfaces;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/8.0.0
MediatR;13.0.0;https://www.nuget.org/api/v2/package/MediatR/13.0.0;MediatR.Contracts;[2.0.1, 3.0.0);https://www.nuget.org/api/v2/package/MediatR.Contracts/[2.0.1, 3.0.0)
MediatR;13.0.0;https://www.nuget.org/api/v2/package/MediatR/13.0.0;Microsoft.Extensions.DependencyInjection.Abstractions;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/8.0.0
RabbitMQ.Client;7.1.2;https://www.nuget.org/api/v2/package/RabbitMQ.Client/7.1.2;Microsoft.Bcl.AsyncInterfaces;8.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/8.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Sinks.Console;6.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.Console/6.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Sinks.File;6.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.File/6.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog;4.2.0;https://www.nuget.org/api/v2/package/Serilog/4.2.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Sinks.Debug;3.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.Debug/3.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Formatting.Compact;3.0.0;https://www.nuget.org/api/v2/package/Serilog.Formatting.Compact/3.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Serilog.Settings.Configuration;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Settings.Configuration/9.0.0
Serilog.AspNetCore;9.0.0;https://www.nuget.org/api/v2/package/Serilog.AspNetCore/9.0.0;Microsoft.AspNetCore.Hosting.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Hosting.Abstractions/2.2.0
Microsoft.AspNetCore.Http.Abstractions;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Abstractions/2.2.0;Microsoft.AspNetCore.Http.Features;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Features/2.2.0
Microsoft.AspNetCore.Http.Features;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.AspNetCore.Http.Features/2.2.0;Microsoft.Extensions.Primitives;2.2.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Primitives/2.2.0
Serilog.Sinks.Console;6.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.Console/6.0.0;Serilog;4.0.0;https://www.nuget.org/api/v2/package/Serilog/4.0.0
Serilog.Sinks.File;6.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.File/6.0.0;Serilog;4.0.0;https://www.nuget.org/api/v2/package/Serilog/4.0.0
Serilog.Sinks.Debug;3.0.0;https://www.nuget.org/api/v2/package/Serilog.Sinks.Debug/3.0.0;Serilog;4.0.0;https://www.nuget.org/api/v2/package/Serilog/4.0.0
Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0;Microsoft.Extensions.DependencyInjection.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/9.0.0
Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0;Serilog;4.2.0;https://www.nuget.org/api/v2/package/Serilog/4.2.0
Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0;Serilog.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Logging/9.0.0
Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0;Microsoft.Extensions.Logging.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/9.0.0
Serilog.Extensions.Hosting;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Hosting/9.0.0;Microsoft.Extensions.Hosting.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Hosting.Abstractions/9.0.0
Microsoft.Extensions.DependencyInjection.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/9.0.0;Microsoft.Bcl.AsyncInterfaces;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/9.0.0
Serilog.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Logging/9.0.0;Microsoft.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/9.0.0
Serilog.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Serilog.Extensions.Logging/9.0.0;Serilog;4.2.0;https://www.nuget.org/api/v2/package/Serilog/4.2.0
Microsoft.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/9.0.0;Microsoft.Extensions.DependencyInjection;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection/9.0.0
Microsoft.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/9.0.0;Microsoft.Extensions.Logging.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging.Abstractions/9.0.0
Microsoft.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/9.0.0;Microsoft.Bcl.AsyncInterfaces;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/9.0.0
Microsoft.Extensions.Logging;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Logging/9.0.0;Microsoft.Extensions.Options;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.Options/9.0.0
Microsoft.Extensions.DependencyInjection;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection/9.0.0;Microsoft.Extensions.DependencyInjection.Abstractions;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection.Abstractions/9.0.0
Microsoft.Extensions.DependencyInjection;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Extensions.DependencyInjection/9.0.0;Microsoft.Bcl.AsyncInterfaces;9.0.0;https://www.nuget.org/api/v2/package/Microsoft.Bcl.AsyncInterfaces/9.0.0
