  node_modules/@babel/plugin-syntax-nullish-coalescing-operator; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-nullish-coalescing-operator/-/plugin-syntax-nullish-coalescing-operator-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-numeric-separator; 7.10.4; https://registry.npmjs.org/@babel/plugin-syntax-numeric-separator/-/plugin-syntax-numeric-separator-7.10.4.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-object-rest-spread; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-object-rest-spread/-/plugin-syntax-object-rest-spread-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-optional-catch-binding; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-optional-catch-binding/-/plugin-syntax-optional-catch-binding-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-optional-chaining; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-private-property-in-object; 7.14.5; https://registry.npmjs.org/@babel/plugin-syntax-private-property-in-object/-/plugin-syntax-private-property-in-object-7.14.5.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-top-level-await; 7.14.5; https://registry.npmjs.org/@babel/plugin-syntax-top-level-await/-/plugin-syntax-top-level-await-7.14.5.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-typescript; 7.25.9; https://registry.npmjs.org/@babel/plugin-syntax-typescript/-/plugin-syntax-typescript-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/runtime; 7.26.9; https://registry.npmjs.org/@babel/runtime/-/runtime-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/template; 7.26.9; https://registry.npmjs.org/@babel/template/-/template-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/traverse; 7.26.9; https://registry.npmjs.org/@babel/traverse/-/traverse-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/traverse/node_modules/globals; 11.12.0; https://registry.npmjs.org/globals/-/globals-11.12.0.tgz; Неизвестно; MIT; None
  node_modules/@babel/types; 7.26.9; https://registry.npmjs.org/@babel/types/-/types-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babylonjs/core; 7.49.0; https://registry.npmjs.org/@babylonjs/core/-/core-7.49.0.tgz; Неизвестно; Apache-2.0; None
  node_modules/@babylonjs/gui; 7.49.0; https://registry.npmjs.org/@babylonjs/gui/-/gui-7.49.0.tgz; Неизвестно; Apache-2.0; None
  node_modules/@bcoe/v8-coverage; 0.2.3; https://registry.npmjs.org/@bcoe/v8-coverage/-/v8-coverage-0.2.3.tgz; Неизвестно; MIT; None
  node_modules/@cspotcode/source-map-support; 0.8.1; https://registry.npmjs.org/@cspotcode/source-map-support/-/source-map-support-0.8.1.tgz; Неизвестно; MIT; None
  node_modules/@cspotcode/source-map-support/node_modules/@jridgewell/trace-mapping; 0.3.9; https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.9.tgz; Неизвестно; MIT; None
  node_modules/@csstools/css-parser-algorithms; 3.0.4; https://registry.npmjs.org/@csstools/css-parser-algorithms/-/css-parser-algorithms-3.0.4.tgz; Неизвестно; MIT; None
  node_modules/@csstools/css-tokenizer; 3.0.3; https://registry.npmjs.org/@csstools/css-tokenizer/-/css-tokenizer-3.0.3.tgz; Неизвестно; MIT; None
  node_modules/@csstools/media-query-list-parser; 4.0.2; https://registry.npmjs.org/@csstools/media-query-list-parser/-/media-query-list-parser-4.0.2.tgz; Неизвестно; MIT; None
  node_modules/@csstools/selector-specificity; 5.0.0; https://registry.npmjs.org/@csstools/selector-specificity/-/selector-specificity-5.0.0.tgz; Неизвестно; MIT-0; None
  node_modules/@discoveryjs/json-ext; 0.6.3; https://registry.npmjs.org/@discoveryjs/json-ext/-/json-ext-0.6.3.tgz; Неизвестно; MIT; None
  node_modules/@dnd-kit/accessibility; 3.1.1; https://registry.npmjs.org/@dnd-kit/accessibility/-/accessibility-3.1.1.tgz; Неизвестно; MIT; None
  node_modules/@dnd-kit/core; 6.3.1; https://registry.npmjs.org/@dnd-kit/core/-/core-6.3.1.tgz; Неизвестно; MIT; None
  node_modules/@dnd-kit/sortable; 10.0.0; https://registry.npmjs.org/@dnd-kit/sortable/-/sortable-10.0.0.tgz; Неизвестно; MIT; None
  node_modules/@dnd-kit/utilities; 3.2.2; https://registry.npmjs.org/@dnd-kit/utilities/-/utilities-3.2.2.tgz; Неизвестно; MIT; None
  node_modules/@dual-bundle/import-meta-resolve; 4.1.0; https://registry.npmjs.org/@dual-bundle/import-meta-resolve/-/import-meta-resolve-4.1.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/babel-plugin; 11.13.5; https://registry.npmjs.org/@emotion/babel-plugin/-/babel-plugin-11.13.5.tgz; Неизвестно; MIT; None
  node_modules/@emotion/cache; 11.14.0; https://registry.npmjs.org/@emotion/cache/-/cache-11.14.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/hash; 0.9.2; https://registry.npmjs.org/@emotion/hash/-/hash-0.9.2.tgz; Неизвестно; MIT; None
  node_modules/@emotion/memoize; 0.9.0; https://registry.npmjs.org/@emotion/memoize/-/memoize-0.9.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/react; 11.14.0; https://registry.npmjs.org/@emotion/react/-/react-11.14.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/serialize; 1.3.3; https://registry.npmjs.org/@emotion/serialize/-/serialize-1.3.3.tgz; Неизвестно; MIT; None
  node_modules/@emotion/sheet; 1.4.0; https://registry.npmjs.org/@emotion/sheet/-/sheet-1.4.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/unitless; 0.10.0; https://registry.npmjs.org/@emotion/unitless/-/unitless-0.10.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/use-insertion-effect-with-fallbacks; 1.2.0; https://registry.npmjs.org/@emotion/use-insertion-effect-with-fallbacks/-/use-insertion-effect-with-fallbacks-1.2.0.tgz; Неизвестно; MIT; None
  node_modules/@emotion/utils; 1.4.2; https://registry.npmjs.org/@emotion/utils/-/utils-1.4.2.tgz; Неизвестно; MIT; None
  node_modules/@emotion/weak-memoize; 0.4.0; https://registry.npmjs.org/@emotion/weak-memoize/-/weak-memoize-0.4.0.tgz; Неизвестно; MIT; None
  node_modules/@eslint-community/eslint-utils; 4.4.1; https://registry.npmjs.org/@eslint-community/eslint-utils/-/eslint-utils-4.4.1.tgz; Неизвестно; MIT; None
  node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys; 3.4.3; https://registry.npmjs.org/eslint-visitor-keys/-/eslint-visitor-keys-3.4.3.tgz; Неизвестно; Apache-2.0; None
  node_modules/@eslint-community/regexpp; 4.12.1; https://registry.npmjs.org/@eslint-community/regexpp/-/regexpp-4.12.1.tgz; Неизвестно; MIT; None
  node_modules/@eslint/config-array; 0.19.2; https://registry.npmjs.org/@eslint/config-array/-/config-array-0.19.2.tgz; Неизвестно; Apache-2.0; None
  node_modules/@eslint/core; 0.11.0; https://registry.npmjs.org/@eslint/core/-/core-0.11.0.tgz; Неизвестно; Apache-2.0; None
  node_modules/@eslint/eslintrc; 3.2.0; https://registry.npmjs.org/@eslint/eslintrc/-/eslintrc-3.2.0.tgz; Неизвестно; MIT; None
  node_modules/@eslint/eslintrc/node_modules/globals; 14.0.0; https://registry.npmjs.org/globals/-/globals-14.0.0.tgz; Неизвестно; MIT; None
  node_modules/@eslint/js; 9.20.0; https://registry.npmjs.org/@eslint/js/-/js-9.20.0.tgz; Неизвестно; MIT; None
  node_modules/@eslint/object-schema; 2.1.6; https://registry.npmjs.org/@eslint/object-schema/-/object-schema-2.1.6.tgz; Неизвестно; Apache-2.0; None
  node_modules/@eslint/plugin-kit; 0.2.6; https://registry.npmjs.org/@eslint/plugin-kit/-/plugin-kit-0.2.6.tgz; Неизвестно; Apache-2.0; None
  node_modules/@humanfs/core; 0.19.1; https://registry.npmjs.org/@humanfs/core/-/core-0.19.1.tgz; Неизвестно; Apache-2.0; None
  node_modules/@humanfs/node; 0.16.6; https://registry.npmjs.org/@humanfs/node/-/node-0.16.6.tgz; Неизвестно; Apache-2.0; None
  node_modules/@humanfs/node/node_modules/@humanwhocodes/retry; 0.3.1; https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.3.1.tgz; Неизвестно; Apache-2.0; None
  node_modules/@humanwhocodes/module-importer; 1.0.1; https://registry.npmjs.org/@humanwhocodes/module-importer/-/module-importer-1.0.1.tgz; Неизвестно; Apache-2.0; None
  node_modules/@humanwhocodes/retry; 0.4.2; https://registry.npmjs.org/@humanwhocodes/retry/-/retry-0.4.2.tgz; Неизвестно; Apache-2.0; None
  node_modules/@istanbuljs/load-nyc-config; 1.1.0; https://registry.npmjs.org/@istanbuljs/load-nyc-config/-/load-nyc-config-1.1.0.tgz; Неизвестно; ISC; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/argparse; 1.0.10; https://registry.npmjs.org/argparse/-/argparse-1.0.10.tgz; Неизвестно; MIT; None
  node_modules/@istanbuljs/load-nyc-config/node_modules/find-up; 4.1.0; https://registry.npmjs.org/find-up/-/find-up-4.1.0.tgz; Неизвестно; MIT; None
